2022-07-14 10:08:09,832 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-07-14 10:08:11,177 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-07-14 10:08:12,328 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-07-14 10:08:36,032 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-07-14 10:08:37,704 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-07-14 10:08:39,816 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-07-14 10:09:00,289 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-07-14 10:09:02,120 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-07-14 10:09:04,360 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-07-14 10:09:19,512 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-07-14 10:09:21,071 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-07-14 10:09:23,143 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-07-14 10:09:31,371 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2022-07-14 10:09:39,397 INFO  ExportHelperExtension.cs: 347 - Creating joint wheel1_link
2022-07-14 10:09:39,405 INFO  ExportHelperExtension.cs: 1397 - Fixing components for base_link
2022-07-14 10:09:39,406 INFO  ExportHelperExtension.cs: 1402 - Fixing 88
2022-07-14 10:09:39,407 INFO  ExportHelperExtension.cs: 1409 - Component 88 is already fixed
2022-07-14 10:09:39,408 INFO  ExportHelperExtension.cs: 1402 - Fixing 133
2022-07-14 10:09:39,408 INFO  ExportHelperExtension.cs: 1409 - Component 133 is already fixed
2022-07-14 10:09:39,409 INFO  ExportHelperExtension.cs: 1402 - Fixing 134
2022-07-14 10:09:39,409 INFO  ExportHelperExtension.cs: 1409 - Component 134 is already fixed
2022-07-14 10:09:39,409 INFO  ExportHelperExtension.cs: 1402 - Fixing 89
2022-07-14 10:09:39,409 INFO  ExportHelperExtension.cs: 1409 - Component 89 is already fixed
2022-07-14 10:09:39,410 INFO  ExportHelperExtension.cs: 1402 - Fixing 101
2022-07-14 10:09:39,410 INFO  ExportHelperExtension.cs: 1409 - Component 101 is already fixed
2022-07-14 10:09:39,410 INFO  ExportHelperExtension.cs: 1402 - Fixing 131
2022-07-14 10:09:39,411 INFO  ExportHelperExtension.cs: 1409 - Component 131 is already fixed
2022-07-14 10:09:39,411 INFO  ExportHelperExtension.cs: 1402 - Fixing 90
2022-07-14 10:09:39,411 INFO  ExportHelperExtension.cs: 1409 - Component 90 is already fixed
2022-07-14 10:09:39,416 INFO  ExportHelperExtension.cs: 1402 - Fixing 99
2022-07-14 10:09:39,416 INFO  ExportHelperExtension.cs: 1409 - Component 99 is already fixed
2022-07-14 10:09:39,416 INFO  ExportHelperExtension.cs: 1402 - Fixing 91
2022-07-14 10:09:39,416 INFO  ExportHelperExtension.cs: 1409 - Component 91 is already fixed
2022-07-14 10:09:39,417 INFO  ExportHelperExtension.cs: 1402 - Fixing 102
2022-07-14 10:09:39,417 INFO  ExportHelperExtension.cs: 1409 - Component 102 is already fixed
2022-07-14 10:09:39,417 INFO  ExportHelperExtension.cs: 1402 - Fixing 100
2022-07-14 10:09:39,418 INFO  ExportHelperExtension.cs: 1409 - Component 100 is already fixed
2022-07-14 10:09:39,418 INFO  ExportHelperExtension.cs: 1402 - Fixing 46
2022-07-14 10:09:39,418 INFO  ExportHelperExtension.cs: 1409 - Component 46 is already fixed
2022-07-14 10:09:39,419 INFO  ExportHelperExtension.cs: 1402 - Fixing 46
2022-07-14 10:09:39,419 INFO  ExportHelperExtension.cs: 1409 - Component 46 is already fixed
2022-07-14 10:09:39,419 INFO  ExportHelperExtension.cs: 1402 - Fixing 46
2022-07-14 10:09:39,419 INFO  ExportHelperExtension.cs: 1409 - Component 46 is already fixed
2022-07-14 10:09:39,420 INFO  ExportHelperExtension.cs: 1402 - Fixing 120
2022-07-14 10:09:39,420 INFO  ExportHelperExtension.cs: 1409 - Component 120 is already fixed
2022-07-14 10:09:39,420 INFO  ExportHelperExtension.cs: 1402 - Fixing 119
2022-07-14 10:09:39,421 INFO  ExportHelperExtension.cs: 1409 - Component 119 is already fixed
2022-07-14 10:09:39,421 INFO  ExportHelperExtension.cs: 1402 - Fixing 123
2022-07-14 10:09:39,421 INFO  ExportHelperExtension.cs: 1409 - Component 123 is already fixed
2022-07-14 10:09:39,421 INFO  ExportHelperExtension.cs: 1402 - Fixing 124
2022-07-14 10:09:39,422 INFO  ExportHelperExtension.cs: 1409 - Component 124 is already fixed
2022-07-14 10:09:39,422 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2022-07-14 10:09:39,422 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2022-07-14 10:09:39,423 INFO  ExportHelperExtension.cs: 1402 - Fixing 31
2022-07-14 10:09:39,423 INFO  ExportHelperExtension.cs: 1409 - Component 31 is already fixed
2022-07-14 10:09:39,423 INFO  ExportHelperExtension.cs: 1402 - Fixing 41
2022-07-14 10:09:39,424 INFO  ExportHelperExtension.cs: 1409 - Component 41 is already fixed
2022-07-14 10:09:39,424 INFO  ExportHelperExtension.cs: 1402 - Fixing 32
2022-07-14 10:09:39,424 INFO  ExportHelperExtension.cs: 1409 - Component 32 is already fixed
2022-07-14 10:09:39,424 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2022-07-14 10:09:39,425 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2022-07-14 10:09:39,425 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2022-07-14 10:09:39,425 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2022-07-14 10:09:39,426 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2022-07-14 10:09:39,426 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2022-07-14 10:09:39,426 INFO  ExportHelperExtension.cs: 1402 - Fixing 65
2022-07-14 10:09:39,426 INFO  ExportHelperExtension.cs: 1409 - Component 65 is already fixed
2022-07-14 10:09:39,427 INFO  ExportHelperExtension.cs: 1402 - Fixing 125
2022-07-14 10:09:39,427 INFO  ExportHelperExtension.cs: 1409 - Component 125 is already fixed
2022-07-14 10:09:39,427 INFO  ExportHelperExtension.cs: 1402 - Fixing 126
2022-07-14 10:09:39,428 INFO  ExportHelperExtension.cs: 1409 - Component 126 is already fixed
2022-07-14 10:09:39,428 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2022-07-14 10:09:39,428 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2022-07-14 10:09:39,428 INFO  ExportHelperExtension.cs: 1402 - Fixing 31
2022-07-14 10:09:39,429 INFO  ExportHelperExtension.cs: 1409 - Component 31 is already fixed
2022-07-14 10:09:39,429 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2022-07-14 10:09:39,429 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2022-07-14 10:09:39,430 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2022-07-14 10:09:39,430 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2022-07-14 10:09:39,430 INFO  ExportHelperExtension.cs: 1402 - Fixing 32
2022-07-14 10:09:39,430 INFO  ExportHelperExtension.cs: 1409 - Component 32 is already fixed
2022-07-14 10:09:39,431 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2022-07-14 10:09:39,431 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2022-07-14 10:09:39,431 INFO  ExportHelperExtension.cs: 1402 - Fixing 41
2022-07-14 10:09:39,432 INFO  ExportHelperExtension.cs: 1409 - Component 41 is already fixed
2022-07-14 10:09:39,432 INFO  ExportHelperExtension.cs: 1402 - Fixing 114
2022-07-14 10:09:39,432 INFO  ExportHelperExtension.cs: 1409 - Component 114 is already fixed
2022-07-14 10:09:39,432 INFO  ExportHelperExtension.cs: 1402 - Fixing 113
2022-07-14 10:09:39,433 INFO  ExportHelperExtension.cs: 1409 - Component 113 is already fixed
2022-07-14 10:09:39,433 INFO  ExportHelperExtension.cs: 1402 - Fixing 117
2022-07-14 10:09:39,433 INFO  ExportHelperExtension.cs: 1409 - Component 117 is already fixed
2022-07-14 10:09:39,434 INFO  ExportHelperExtension.cs: 1402 - Fixing 118
2022-07-14 10:09:39,434 INFO  ExportHelperExtension.cs: 1409 - Component 118 is already fixed
2022-07-14 10:09:39,434 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2022-07-14 10:09:39,434 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2022-07-14 10:09:39,435 INFO  ExportHelperExtension.cs: 1402 - Fixing 31
2022-07-14 10:09:39,435 INFO  ExportHelperExtension.cs: 1409 - Component 31 is already fixed
2022-07-14 10:09:39,435 INFO  ExportHelperExtension.cs: 1402 - Fixing 41
2022-07-14 10:09:39,436 INFO  ExportHelperExtension.cs: 1409 - Component 41 is already fixed
2022-07-14 10:09:39,436 INFO  ExportHelperExtension.cs: 1402 - Fixing 32
2022-07-14 10:09:39,436 INFO  ExportHelperExtension.cs: 1409 - Component 32 is already fixed
2022-07-14 10:09:39,436 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2022-07-14 10:09:39,437 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2022-07-14 10:09:39,437 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2022-07-14 10:09:39,437 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2022-07-14 10:09:39,438 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2022-07-14 10:09:39,438 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2022-07-14 10:09:39,438 INFO  ExportHelperExtension.cs: 1402 - Fixing 143
2022-07-14 10:09:39,438 INFO  ExportHelperExtension.cs: 1409 - Component 143 is already fixed
2022-07-14 10:09:39,439 INFO  ExportHelperExtension.cs: 1402 - Fixing 33
2022-07-14 10:09:39,439 INFO  ExportHelperExtension.cs: 1409 - Component 33 is already fixed
2022-07-14 10:09:39,439 INFO  ExportHelperExtension.cs: 1402 - Fixing 25
2022-07-14 10:09:39,440 INFO  ExportHelperExtension.cs: 1409 - Component 25 is already fixed
2022-07-14 10:09:39,440 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2022-07-14 10:09:39,440 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2022-07-14 10:09:39,441 INFO  ExportHelperExtension.cs: 1402 - Fixing 34
2022-07-14 10:09:39,441 INFO  ExportHelperExtension.cs: 1409 - Component 34 is already fixed
2022-07-14 10:09:39,441 INFO  ExportHelperExtension.cs: 1402 - Fixing 27
2022-07-14 10:09:39,441 INFO  ExportHelperExtension.cs: 1409 - Component 27 is already fixed
2022-07-14 10:09:39,442 INFO  ExportHelperExtension.cs: 1402 - Fixing 39
2022-07-14 10:09:39,442 INFO  ExportHelperExtension.cs: 1409 - Component 39 is already fixed
2022-07-14 10:09:39,442 INFO  ExportHelperExtension.cs: 1402 - Fixing 37
2022-07-14 10:09:39,443 INFO  ExportHelperExtension.cs: 1409 - Component 37 is already fixed
2022-07-14 10:09:39,443 INFO  ExportHelperExtension.cs: 1402 - Fixing 31
2022-07-14 10:09:39,443 INFO  ExportHelperExtension.cs: 1409 - Component 31 is already fixed
2022-07-14 10:09:39,443 INFO  ExportHelperExtension.cs: 1402 - Fixing 26
2022-07-14 10:09:39,444 INFO  ExportHelperExtension.cs: 1409 - Component 26 is already fixed
2022-07-14 10:09:39,444 INFO  ExportHelperExtension.cs: 1402 - Fixing 26
2022-07-14 10:09:39,444 INFO  ExportHelperExtension.cs: 1409 - Component 26 is already fixed
2022-07-14 10:09:39,445 INFO  ExportHelperExtension.cs: 1402 - Fixing 30
2022-07-14 10:09:39,445 INFO  ExportHelperExtension.cs: 1409 - Component 30 is already fixed
2022-07-14 10:09:39,445 INFO  ExportHelperExtension.cs: 1402 - Fixing 28
2022-07-14 10:09:39,445 INFO  ExportHelperExtension.cs: 1409 - Component 28 is already fixed
2022-07-14 10:09:39,446 INFO  ExportHelperExtension.cs: 1402 - Fixing 153
2022-07-14 10:09:39,446 INFO  ExportHelperExtension.cs: 1409 - Component 153 is already fixed
2022-07-14 10:09:39,446 INFO  ExportHelperExtension.cs: 1402 - Fixing 145
2022-07-14 10:09:39,447 INFO  ExportHelperExtension.cs: 1409 - Component 145 is already fixed
2022-07-14 10:09:39,447 INFO  ExportHelperExtension.cs: 1402 - Fixing 146
2022-07-14 10:09:39,447 INFO  ExportHelperExtension.cs: 1409 - Component 146 is already fixed
2022-07-14 10:09:39,447 INFO  ExportHelperExtension.cs: 1402 - Fixing 152
2022-07-14 10:09:39,448 INFO  ExportHelperExtension.cs: 1409 - Component 152 is already fixed
2022-07-14 10:09:39,448 INFO  ExportHelperExtension.cs: 1402 - Fixing 29
2022-07-14 10:09:39,448 INFO  ExportHelperExtension.cs: 1409 - Component 29 is already fixed
2022-07-14 10:09:39,449 INFO  ExportHelperExtension.cs: 1402 - Fixing 40
2022-07-14 10:09:39,449 INFO  ExportHelperExtension.cs: 1409 - Component 40 is already fixed
2022-07-14 10:09:39,449 INFO  ExportHelperExtension.cs: 1402 - Fixing 36
2022-07-14 10:09:39,449 INFO  ExportHelperExtension.cs: 1409 - Component 36 is already fixed
2022-07-14 10:09:39,450 INFO  ExportHelperExtension.cs: 1402 - Fixing 155
2022-07-14 10:09:39,450 INFO  ExportHelperExtension.cs: 1409 - Component 155 is already fixed
2022-07-14 10:09:39,450 INFO  ExportHelperExtension.cs: 1402 - Fixing 148
2022-07-14 10:09:39,451 INFO  ExportHelperExtension.cs: 1409 - Component 148 is already fixed
2022-07-14 10:09:39,451 INFO  ExportHelperExtension.cs: 1402 - Fixing 35
2022-07-14 10:09:39,451 INFO  ExportHelperExtension.cs: 1409 - Component 35 is already fixed
2022-07-14 10:09:39,452 INFO  ExportHelperExtension.cs: 1402 - Fixing 32
2022-07-14 10:09:39,452 INFO  ExportHelperExtension.cs: 1409 - Component 32 is already fixed
2022-07-14 10:09:39,452 INFO  ExportHelperExtension.cs: 1402 - Fixing 154
2022-07-14 10:09:39,452 INFO  ExportHelperExtension.cs: 1409 - Component 154 is already fixed
2022-07-14 10:09:39,453 INFO  ExportHelperExtension.cs: 1402 - Fixing 147
2022-07-14 10:09:39,453 INFO  ExportHelperExtension.cs: 1409 - Component 147 is already fixed
2022-07-14 10:09:39,453 INFO  ExportHelperExtension.cs: 1402 - Fixing 25
2022-07-14 10:09:39,454 INFO  ExportHelperExtension.cs: 1409 - Component 25 is already fixed
2022-07-14 10:09:39,454 INFO  ExportHelperExtension.cs: 1402 - Fixing 27
2022-07-14 10:09:39,454 INFO  ExportHelperExtension.cs: 1409 - Component 27 is already fixed
2022-07-14 10:09:39,455 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2022-07-14 10:09:39,455 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2022-07-14 10:09:39,455 INFO  ExportHelperExtension.cs: 1402 - Fixing 150
2022-07-14 10:09:39,455 INFO  ExportHelperExtension.cs: 1409 - Component 150 is already fixed
2022-07-14 10:09:39,456 INFO  ExportHelperExtension.cs: 1402 - Fixing 144
2022-07-14 10:09:39,456 INFO  ExportHelperExtension.cs: 1409 - Component 144 is already fixed
2022-07-14 10:09:39,456 INFO  ExportHelperExtension.cs: 1402 - Fixing 151
2022-07-14 10:09:39,457 INFO  ExportHelperExtension.cs: 1409 - Component 151 is already fixed
2022-07-14 10:09:39,457 INFO  ExportHelperExtension.cs: 1402 - Fixing 149
2022-07-14 10:09:39,457 INFO  ExportHelperExtension.cs: 1409 - Component 149 is already fixed
2022-07-14 10:09:39,457 INFO  ExportHelperExtension.cs: 1402 - Fixing 195
2022-07-14 10:09:39,458 INFO  ExportHelperExtension.cs: 1409 - Component 195 is already fixed
2022-07-14 10:09:39,458 INFO  ExportHelperExtension.cs: 1402 - Fixing 193
2022-07-14 10:09:39,458 INFO  ExportHelperExtension.cs: 1409 - Component 193 is already fixed
2022-07-14 10:09:39,459 INFO  ExportHelperExtension.cs: 1402 - Fixing 139
2022-07-14 10:09:39,459 INFO  ExportHelperExtension.cs: 1409 - Component 139 is already fixed
2022-07-14 10:09:39,459 INFO  ExportHelperExtension.cs: 1402 - Fixing 97
2022-07-14 10:09:39,460 INFO  ExportHelperExtension.cs: 1409 - Component 97 is already fixed
2022-07-14 10:09:39,460 INFO  ExportHelperExtension.cs: 1402 - Fixing 96
2022-07-14 10:09:39,460 INFO  ExportHelperExtension.cs: 1409 - Component 96 is already fixed
2022-07-14 10:09:39,460 INFO  ExportHelperExtension.cs: 1402 - Fixing 95
2022-07-14 10:09:39,461 INFO  ExportHelperExtension.cs: 1409 - Component 95 is already fixed
2022-07-14 10:09:39,461 INFO  ExportHelperExtension.cs: 1402 - Fixing 188
2022-07-14 10:09:39,461 INFO  ExportHelperExtension.cs: 1409 - Component 188 is already fixed
2022-07-14 10:09:39,462 INFO  ExportHelperExtension.cs: 1402 - Fixing 191
2022-07-14 10:09:39,462 INFO  ExportHelperExtension.cs: 1409 - Component 191 is already fixed
